Prod,HS6,Balance_mean
C_ALUO_260600,260600,0.000810213
C_CHEM_250100,250100,0.000953862
C_CHEM_282200,282200,0.698672644
C_CHEM_282520,282520,0.254685014
C_CHEM_282540,282540,0.007102387
C_CHEM_282619,282619,0.508620505
C_CHEM_282739,282739,0.388943826
C_CHEM_282759,282759,0.248651761
C_CHEM_282760,282760,0.176049117
C_CHEM_283090,283090,0.000926648
C_CHEM_283329,283329,0.191337372
C_CHEM_283429,283429,0.238645489
C_CHEM_283529,283529,0.316072008
C_CHEM_283699,283699,0.451408614
C_CHEM_283720,283720,0.369373105
C_CHEM_284990,284990,0.099433015
C_CHEM_285390,285390,0.438505354
C_CHEM_291529,291529,0.21656389
C_CHEM_291570,291570,0.095252792
C_CHEM_291711,291711,0.332584775
C_CHEM_320710,320710,0.169666281
C_CHEM_321100,321100,0.002878695
C_CHEM_381511,381511,0.002206681
C_CHEM_381512,381512,0.001622529
C_CHEM_381519,381519,0.056999991
C_CHEM_381590,381590,2.74E-06
C_COPO_260300,260300,0.006874694
C_CRMC_690911,690911,0.029086515
C_CRMC_690919,690919,0.028005562
C_CRMC_691010,691010,0.028520976
C_CRMC_691110,691110,0.028547311
C_CRMC_691190,691190,0.028727788
C_CRMC_691310,691310,0.028565745
C_CRMC_691410,691410,0.02838458
C_ELMA_850440,850440,2.29E-07
C_ELMA_850511,850511,0.124944493
C_ELMA_850650,850650,0.065223436
C_ELMA_850690,850690,0.142929429
C_ELMA_850730,850730,0.005701205
C_ELMA_850750,850750,0.052477042
C_ELMA_850760,850760,0.069203267
C_ELMA_850780,850780,0.096146903
C_ELMA_851210,851210,1.59E-06
C_ELMA_851310,851310,0.002992484
C_ELMA_853120,853120,7.01E-06
C_ELMA_853941,853941,1.72E-06
C_ELMA_853949,853949,1.83E-06
C_ELMA_940510,940510,1.56E-06
C_ELMA_940520,940520,1.55E-06
C_ELMA_940530,940530,1.53E-06
C_ELMA_940540,940540,1.32E-09
C_FABM_731815,731815,0.049270016
C_FABM_820220,820220,0.01260775
C_FABM_820231,820231,0.012560493
C_FABM_820239,820239,0.012444412
C_FABM_820291,820291,0.00506944
C_FABM_820510,820510,0.025075335
C_FABM_820540,820540,6.69E-09
C_FABM_820720,820720,0.004926578
C_FABM_820730,820730,0.004977844
C_FABM_820740,820740,0.025075797
C_FABM_820770,820770,0.050974949
C_FABM_820780,820780,0.050883885
C_FABM_820810,820810,0.093788043
C_FABM_820900,820900,0.002235634
C_FABM_821520,821520,0.014927482
C_FABM_840211,840211,0.156094604
C_FABM_840212,840212,0.153084469
C_FABM_840219,840219,0.153477851
C_FURN_660390,660390,0.00017123
C_FURN_920710,920710,1.43E-06
C_FURN_920790,920790,1.42E-06
C_FURN_950300,950300,7.01E-06
C_FURN_950490,950490,5.37E-06
C_LZTO_260800,260800,0.000665022
C_MACH_630110,630110,2.23E-06
C_MACH_840310,840310,3.85E-08
C_MACH_840610,840610,0.138779265
C_MACH_840681,840681,0.132778808
C_MACH_840682,840682,0.134580669
C_MACH_840690,840690,0.137052243
C_MACH_840710,840710,0.297819622
C_MACH_840991,840991,2.25E-05
C_MACH_840999,840999,2.25E-05
C_MACH_841191,841191,0.007129734
C_MACH_841199,841199,0.007111536
C_MACH_841410,841410,8.81E-05
C_MACH_841420,841420,0.00411519
C_MACH_841430,841430,2.30E-05
C_MACH_841440,841440,0.002806472
C_MACH_841451,841451,5.58E-05
C_MACH_841459,841459,1.40E-05
C_MACH_841460,841460,0.000311927
C_MACH_841480,841480,0.000109042
C_MACH_841490,841490,4.08E-05
C_MACH_841510,841510,0.001658052
C_MACH_841581,841581,0.001657939
C_MACH_841582,841582,0.001656396
C_MACH_841583,841583,0.00165277
C_MACH_841590,841590,0.003371165
C_MACH_841810,841810,3.11E-05
C_MACH_841821,841821,5.05E-05
C_MACH_841829,841829,0.000955444
C_MACH_841830,841830,0.000313909
C_MACH_841840,841840,0.000401607
C_MACH_841850,841850,0.0001858
C_MACH_841861,841861,0.000211817
C_MACH_841869,841869,0.000681297
C_MACH_841891,841891,0.001780611
C_MACH_841899,841899,8.23E-05
C_MACH_842112,842112,4.31E-06
C_MACH_842211,842211,1.15E-05
C_MACH_842219,842219,2.74E-06
C_MACH_842310,842310,2.22E-06
C_MACH_842810,842810,8.46E-05
C_MACH_842820,842820,0.000707713
C_MACH_842831,842831,0.002024588
C_MACH_842832,842832,0.000757868
C_MACH_842833,842833,0.00023041
C_MACH_842839,842839,0.000223327
C_MACH_842840,842840,0.000424345
C_MACH_842860,842860,0.002886541
C_MACH_842890,842890,5.04E-05
C_MACH_844311,844311,2.03E-05
C_MACH_844313,844313,2.06E-05
C_MACH_844315,844315,6.48E-06
C_MACH_844316,844316,1.01E-05
C_MACH_844317,844317,9.11E-06
C_MACH_844319,844319,0.000872693
C_MACH_844339,844339,0.00581666
C_MACH_844399,844399,3.41E-06
C_MACH_844400,844400,0.000133361
C_MACH_844511,844511,0.001318236
C_MACH_844512,844512,0.007552704
C_MACH_844513,844513,5.38E-05
C_MACH_844519,844519,0.000329886
C_MACH_844520,844520,0.00049362
C_MACH_844530,844530,0.001640953
C_MACH_844540,844540,0.000340041
C_MACH_844590,844590,0.000340628
C_MACH_844610,844610,0.000354464
C_MACH_844621,844621,0.001724884
C_MACH_844629,844629,0.001877217
C_MACH_844711,844711,0.000337211
C_MACH_844712,844712,0.006549339
C_MACH_844720,844720,0.000432271
C_MACH_844790,844790,0.000441431
C_MACH_845011,845011,3.02E-05
C_MACH_845012,845012,0.000492815
C_MACH_845019,845019,0.001250081
C_MACH_845020,845020,0.000406004
C_MACH_845090,845090,0.000111284
C_MACH_845121,845121,1.22E-05
