,product,prod_name,efficiency,redundancy,alpha,theoretical_resilience
0,854810,"Waste and scrap of primary cells, primary batteries and electric accumulators: spent primary cells, spent primary batteries and spent electric accumulators",1.527885303,1.396691416,0.522429551,0.339195293
1,850690,"Cells and batteries: primary, parts thereof",0.74051897,1.097173217,0.402961375,0.366257463
2,853331,"Electrical resistors: wirewound variable, including rheostats and potentiometers, for a power handling capacity not exceeding 20W (excluding heating)",0.859771704,1.475820048,0.368117289,0.367879364
3,853339,"Electrical resistors: wirewound variable, including rheostats and potentiometers, for a power handling capacity exceeding 20W (excluding heating)",1.165338615,2.577028349,0.311390793,0.363301689
4,853340,"Electrical resistors: variable, including rheostats and potentiometers (excluding heating)",0.532644562,1.238297011,0.300769133,0.361347738
5,850780,"Electric accumulators: other than lead-acid, nickel-cadmium, nickel-iron, nickel-metal hydride and lithium-ion, including separators, whether or not rectangular (including square)",1.157548157,2.771771184,0.294592538,0.360039836
6,850730,"Electric accumulators: nickel-cadmium, including separators, whether or not rectangular (including square)",0.693809246,2.581126581,0.211854303,0.328767475
7,850650,"Cells and batteries: primary, lithium",0.594981395,2.358782224,0.201431621,0.322754955
8,850760,"Electric accumulators: lithium-ion, including separators, whether or not rectangular (including square)",0.296360436,1.521283644,0.163046462,0.295720641
9,853329,"Electrical resistors: fixed, for a power handling capacity exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",0.553480409,3.16445578,0.148867646,0.283547856
10,840690,Turbines: parts of steam and other vapour turbines,0.304578874,2.126138683,0.125304099,0.26025808
11,850750,"Electric accumulators: nickel-metal hydride, including separators, whether or not rectangular (including square)",0.298229799,2.535072176,0.105258741,0.236972557
12,840681,"Turbines: steam and other vapour turbines, (for other than marine propulsion), of an output exceeding 40MW",0.139302379,1.217139247,0.102696921,0.233735434
13,840682,"Turbines: steam and other vapour turbines, (for other than marine propulsion), of an output not exceeding 40MW",0.173250549,1.849227487,0.085662512,0.210501915
14,850511,"Magnets: permanent magnets and articles intended to become permanent magnets after magnetisation, of metal",0.904061071,2.696578663,0.251083457,0.346989779
15,910812,"Watch movements: complete and assembled, electrically operated, by means of solar cells, with opto-electronic display",1.29550693,0.122422887,0.913660827,0.082499792
16,840610,"Turbines: steam and other vapour turbines, for marine propulsion",0.895600852,1.021587318,0.467142905,0.355551837
17,841199,Turbines: parts of gas turbines (excluding turbo-jets and turbo-propellers),0.696343853,2.425708563,0.223040411,0.334650347
18,841191,Turbines: parts of turbo-jets and turbo-propellers,0.357378614,2.00849223,0.151055843,0.285511508
19,260400,Nickel ores and concentrates,0.667696916,0.097552867,0.872521536,0.118983967
20,260500,Cobalt ores and concentrates,0.532168329,0.089062417,0.85663553,0.132558126
21,852321,"Magnetic media: cards incorporating a magnetic stripe, whether or not recorded, excluding products of Chapter 37",0.028137133,0.010782468,0.72295533,0.234532379
22,844512,Textile machinery: combing machines for preparing textile fibres,0.833454766,0.330516636,0.716044024,0.239168462
23,910990,"Clock movements: complete and assembled, other than electrically operated",1.889112385,0.763387606,0.712200713,0.241717722
24,844511,Textile machinery: carding machines for preparing textile fibres,1.544272791,0.684888063,0.692759694,0.254292757
