,prod_name,HS6,Balance_mean,Unnamed: 0,q,co_quantity
0,"Automatic data processing machines: portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",847130,0.006328899,42296657095,667928.8169999999,4227.254021982482
1,"Lamps: portable, electric, designed to function by their own source of energy (excluding lighting equipment of heading no. 8512)",851310,0.002992484,25795080087,1017124.492,3043.728768318128
2,"Communication apparatus (excluding telephone sets or base stations): machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",851762,0.001969308,51145418171,1127537.609,2220.468833704572
3,"Tricycles, scooters, pedal cars and similar wheeled toys: dolls' carriages: dolls: other toys: reduced-size (scale) models and similar recreational models, working or not: puzzles of all kinds",950300,7.01e-06,43391383158,13080946.942,91.69743806342
4,Electrical static converters,850440,2.29e-07,52603722893,2617563.336,0.599422003944
5,"Engines: parts, suitable for use solely or principally with spark-ignition internal combustion piston engines (for other than aircraft)",840991,2.25e-05,36057752038,1561235.11,35.127789975000006
6,"Lifting, handling, loading or unloading machinery: n.e.c. in heading no. 8425, 8426, 8427 or 8428",842890,5.04e-05,23849028395,1003644.285,50.583671964
7,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,0.049270016,47013988490,4583298.361,225819.18357924375
8,"Units of automatic data processing machines: processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",847150,5.2e-05,35042815410,362791.017,18.865132883999998
9,"Wrist-watches: electrically operated, with or without a stop-watch, with case of precious metal or of metal clad with precious metal, with mechanical display only",910111,0.004597739,10421523198,1648.309,7.578494573351
10,"Cameras, photographic (excluding cinematographic): of a kind (not SLR) for roll film n.e.c. in heading no. 9006",900659,0.01503168,9949115050,1387.591,20.857823882879998
11,Photographic flashlight apparatus: discharge lamp (electronic),900661,4.64e-06,7729948440,54251.278999999995,0.25172593456
12,Video recording or reproducing apparatus: other than magnetic tape-type,852190,2.06e-06,22785213103,90558.516,0.18655054296
13,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: not designed to incorporate a video display or screen",852871,2.05e-06,19598523426,181167.465,0.37139330325
14,"Ovens, cookers, cooking plates, boiling rings, grillers and roasters: of a kind used for domestic purposes (excluding microwaves)",851660,6.98e-07,28479800240,1638761.583,1.1438555849340002
15,Monitors other than cathode-ray tube: other than of a kind solely or principally used in an automatic data processing system of heading 84.71,852859,6.91e-06,28558851207,125342.103,0.86611393173
16,"Tools: for working in the hand, with self-contained electric motor: drills of all kinds",846721,0.012803419,23197973333,246942.263,3161.705261997197
