prod_name,HS6,Balance_mean,q,co_quantity
"Waste and scrap of primary cells, primary batteries and electric accumulators: spent primary cells, spent primary batteries and spent electric accumulators",854810,0.072563799,81799.066,5935.650984
Turbines: parts of steam and other vapour turbines,840690,0.137052243,6277.182,860.3018728
"Electric accumulators: lithium-ion, including separators, whether or not rectangular (including square)",850760,0.069203267,5329.698,368.8325137
"Electric accumulators: other than lead-acid, nickel-cadmium, nickel-iron, nickel-metal hydride and lithium-ion, including separators, whether or not rectangular (including square)",850780,0.096146903,1763.34,169.5396799
"Turbines: steam and other vapour turbines, (for other than marine propulsion), of an output exceeding 40MW",840681,0.132778808,1199.105,159.2157326
"Turbines: steam and other vapour turbines, (for other than marine propulsion), of an output not exceeding 40MW",840682,0.134580669,1130.65,152.1636334
"Magnets: permanent magnets and articles intended to become permanent magnets after magnetisation, of metal",850511,0.124944493,783.633,97.91062788
"Cells and batteries: primary, lithium",850650,0.065223436,1003.689,65.46404526
Turbines: parts of gas turbines (excluding turbo-jets and turbo-propellers),841199,0.007111536,7171.32,50.99910035
"Cells and batteries: primary, parts thereof",850690,0.142929429,348.026,49.74315746
Vehicles: with only electric motor for propulsion,870380,0.004130871,4939.551,20.40464798
Lithium oxide and hydroxide,282520,0.254685014,1821.69,463.9571432
"Electrical resistors: fixed, for a power handling capacity not exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",853321,0.026522833,2952.124,78.29869185
Cobalt ores and concentrates,260500,0.036318972,2082.226,75.62430779
"Electrical resistors: variable, including rheostats and potentiometers (excluding heating)",853340,0.026498881,1633.053,43.27407711
"Electric accumulators: nickel-metal hydride, including separators, whether or not rectangular (including square)",850750,0.052477042,690.878,36.25523382
Electronic integrated circuits: amplifiers,854233,0.190488444,154.963,29.51866075
"Electrical resistors: fixed, for a power handling capacity exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",853329,0.026535438,1052.457,27.92740747
"Electric accumulators: nickel-cadmium, including separators, whether or not rectangular (including square)",850730,0.005701205,927.364,5.287092274
"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",260200,0.025451692,8666934.832,220588.1559
"Steel, alloy: semi-finished products",722490,0.077354047,1944733.436,150433.0016
"Steel, alloy: flat-rolled, width 600mm or more, n.e.c. in heading no. 7225, electrolytically plated or coated with zinc",722591,0.214334744,402464.837,86262.19781
