,sources,targets,q_total,wgi_sources,wgi_targets,bc_sources,bc_targets,dc_sources,dc_targets
0,Belgium,Angola,0.022,1.31,-1.14,0.019536963103612706,0.008603941203194979,0.9045454545454545,0.2636363636363636
1,Canada,Angola,0.013000000000000001,1.62,-1.14,0.0357104599072721,0.008603941203194979,0.8681818181818182,0.2636363636363636
2,China,Angola,716.4739999999999,-0.49,-1.14,0.052559134574348236,0.008603941203194979,1.1363636363636362,0.2636363636363636
3,Congo,Angola,3.001,-1.12,-1.14,0.0010104507259010422,0.008603941203194979,0.1909090909090909,0.2636363636363636
4,Democratic Republic of the Congo,Angola,0.097,-1.65,-1.14,0.004929179973578085,0.008603941203194979,0.16363636363636364,0.2636363636363636
5,Denmark,Angola,0.202,1.78,-1.14,0.011972467807239859,0.008603941203194979,0.859090909090909,0.2636363636363636
6,"France, Monaco",Angola,1.459,1.19,-1.14,0.037235677663879536,0.008603941203194979,1.0272727272727271,0.2636363636363636
7,Germany,Angola,0.078,1.49,-1.14,0.027468802492995846,0.008603941203194979,1.0772727272727272,0.2636363636363636
8,Greece,Angola,0.121,0.5,-1.14,0.0012803834288768565,0.008603941203194979,0.5045454545454545,0.2636363636363636
9,"China, Hong Kong Special Administrative Region",Angola,0.972,1.35,-1.14,0.013558743003310362,0.008603941203194979,0.8318181818181818,0.2636363636363636
10,Israel,Angola,0.002,0.63,-1.14,0.005777239137236928,0.008603941203194979,0.6045454545454545,0.2636363636363636
11,Italy,Angola,0.592,0.63,-1.14,0.007041569650261702,0.008603941203194979,0.8681818181818182,0.2636363636363636
12,Japan,Angola,0.13999999999999999,1.23,-1.14,0.004089354865596622,0.008603941203194979,0.8181818181818181,0.2636363636363636
13,Democratic People's Republic of Korea,Angola,0.027,-1.54,-1.14,0.0,0.008603941203194979,0.03636363636363636,0.2636363636363636
14,Republic of Korea,Angola,0.28400000000000003,0.75,-1.14,0.0037356283122787306,0.008603941203194979,0.7636363636363636,0.2636363636363636
15,Libya,Angola,0.001,-1.35,-1.14,1.5474866049745137e-05,0.008603941203194979,0.10454545454545454,0.2636363636363636
16,Mauritius,Angola,0.17,0.76,-1.14,0.00031898758847552467,0.008603941203194979,0.16818181818181818,0.2636363636363636
17,Namibia,Angola,7.2090000000000005,0.32,-1.14,0.00017213596921514417,0.008603941203194979,0.16363636363636364,0.2636363636363636
18,Nauru,Angola,0.004,0.18,-1.14,9.103289564717106e-07,0.008603941203194979,0.00909090909090909,0.2636363636363636
19,Netherlands,Angola,1.012,1.69,-1.14,0.06934339686474338,0.008603941203194979,1.15,0.2636363636363636
20,Nigeria,Angola,0.179,-1.11,-1.14,0.009749528034026577,0.008603941203194979,0.2636363636363636,0.2636363636363636
21,"Norway, Svalbard and Jan Mayen",Angola,1.4820000000000002,1.73,-1.14,0.011601721698624938,0.008603941203194979,0.8090909090909091,0.2636363636363636
22,Poland,Angola,0.073,0.71,-1.14,0.009811564210472,0.008603941203194979,0.75,0.2636363636363636
23,Portugal,Angola,18.457,1.09,-1.14,0.01416971173486218,0.008603941203194979,0.5636363636363636,0.2636363636363636
24,Russian Federation,Angola,0.021,-0.71,-1.14,0.005645561059920209,0.008603941203194979,0.509090909090909,0.2636363636363636
25,Singapore,Angola,0.978,1.52,-1.14,0.050892503246758466,0.008603941203194979,1.0,0.2636363636363636
26,Viet Nam,Angola,0.319,-0.48,-1.14,0.0009001968228381127,0.008603941203194979,0.509090909090909,0.2636363636363636
27,South Africa,Angola,495.694,0.29,-1.14,0.02086142699892494,0.008603941203194979,0.6045454545454545,0.2636363636363636
28,Spain,Angola,0.11,0.95,-1.14,0.009687028187384586,0.008603941203194979,0.8272727272727273,0.2636363636363636
29,"Switzerland, Liechtenstein",Angola,0.028,1.75,-1.14,0.02748157314451469,0.008603941203194979,0.9227272727272727,0.2636363636363636
30,"Switzerland, Liechtenstein",Angola,0.028,1.54,-1.14,0.02748157314451469,0.008603941203194979,0.9227272727272727,0.2636363636363636
31,United Arab Emirates,Angola,32.166,0.55,-1.14,0.033981214605489155,0.008603941203194979,0.9136363636363636,0.2636363636363636
32,United Kingdom,Angola,16.926000000000002,1.46,-1.14,0.05539947932488897,0.008603941203194979,1.1272727272727272,0.2636363636363636
