,k,sources,targets,q_total
0,850440,Australia,Albania,0.017
1,840690,Austria,Albania,0.102
2,841810,Austria,Albania,4.109
3,841850,Austria,Albania,2.901
4,841869,Austria,Albania,13.449
5,841899,Austria,Albania,1.214
6,850440,Austria,Albania,7.542
7,854140,Austria,Albania,0.42600000000000005
8,283329,Belgium,Albania,7.65
9,841869,Belgium,Albania,49.069
10,841899,Belgium,Albania,3.5729999999999995
11,850440,Belgium,Albania,0.107
12,841810,Bosnia Herzegovina,Albania,297.329
13,841840,Bosnia Herzegovina,Albania,14.706999999999999
14,841869,Brazil,Albania,0.578
15,841810,Bulgaria,Albania,170.353
16,841830,Bulgaria,Albania,29.238999999999997
17,841840,Bulgaria,Albania,0.274
18,841850,Bulgaria,Albania,44.543000000000006
19,841869,Bulgaria,Albania,0.42200000000000004
20,841899,Bulgaria,Albania,0.096
21,850440,Bulgaria,Albania,1.9740000000000002
22,841869,Canada,Albania,0.529
23,850440,Canada,Albania,0.98
24,283329,China,Albania,795.968
25,841199,China,Albania,0.04
26,841810,China,Albania,1013.5450000000001
27,841830,China,Albania,527.954
28,841840,China,Albania,78.827
29,841850,China,Albania,260.67900000000003
30,841861,China,Albania,28.884999999999998
31,841869,China,Albania,98.91
32,841899,China,Albania,52.941
33,850440,China,Albania,276.498
34,854140,China,Albania,4.228000000000001
35,841810,Croatia,Albania,9.079
36,841830,Croatia,Albania,2.337
37,841869,Croatia,Albania,34.287
38,841899,Croatia,Albania,1.794
39,850440,Croatia,Albania,4.364
40,841810,Czechia,Albania,2.916
41,841850,Czechia,Albania,0.22699999999999998
42,841899,Czechia,Albania,16.805
43,850440,Czechia,Albania,1.4340000000000002
44,841850,Denmark,Albania,23.295
45,850440,Denmark,Albania,0.859
46,850440,Ecuador,Albania,0.006
47,850440,Finland,Albania,3.843
48,841850,"France, Monaco",Albania,0.009000000000000001
49,841861,"France, Monaco",Albania,29.445
50,841869,"France, Monaco",Albania,9.663
51,841899,"France, Monaco",Albania,0.033
52,850440,"France, Monaco",Albania,4.13
53,854140,"France, Monaco",Albania,3.49
54,282739,Germany,Albania,0.082
55,283329,Germany,Albania,1003.56
56,810520,Germany,Albania,0.097
57,841810,Germany,Albania,52.476
58,841840,Germany,Albania,2.536
59,841850,Germany,Albania,31.168000000000003
60,841861,Germany,Albania,2.855
61,841869,Germany,Albania,21.766
62,841899,Germany,Albania,1.86
63,850440,Germany,Albania,10.219000000000001
64,854140,Germany,Albania,19.041
65,283329,Greece,Albania,4.333
66,841810,Greece,Albania,15.719999999999999
67,841830,Greece,Albania,12.024999999999999
68,841840,Greece,Albania,2.234
69,841850,Greece,Albania,181.685
70,841861,Greece,Albania,1.048
71,841869,Greece,Albania,10.665
72,841891,Greece,Albania,8.58
73,841899,Greece,Albania,26.995
74,850440,Greece,Albania,5.443
75,854140,Greece,Albania,15.850999999999999
76,850440,"China, Hong Kong Special Administrative Region",Albania,3.872
77,841810,Hungary,Albania,324.81100000000004
78,841830,Hungary,Albania,40.345
79,841850,Hungary,Albania,5.416
80,841869,Hungary,Albania,88.948
81,841899,Hungary,Albania,2.713
82,850440,Hungary,Albania,20.288
83,854140,Hungary,Albania,0.264
84,841810,Indonesia,Albania,58.297
85,841840,Indonesia,Albania,44.131
